# Server version 0.08 running on jake-t420:8123
# Game ID: 150
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 1000
# First Move Timeout: 30000
# Date: Fri Apr 07 23:40:54 EDT 2017
# Player 1: Player-0, 'RandomPlayer', running on localhost
# Player 2: Player-1, '260566105', running on localhost
START Player-0 RandomPlayer
START Player-1 260566105
PIT 0 1
PIT 1 5
PIT 0 0
PIT 1 3
PIT 0 0
PIT 1 4
PIT 0 3
PIT 1 2
PIT 0 1
PIT 1 1
PIT 0 2
PIT 1 1
PIT 0 5
PIT 1 2
PIT 1 1
PIT 0 2
PIT 0 1
PIT 1 5
PIT 0 3
PIT 1 2
PIT 0 1
PIT 1 1
PIT 0 0
PIT 1 4
PIT 0 1
PIT 1 3
PIT 0 5
PIT 1 1
PIT 1 0
PIT 0 5
PIT 1 1
PIT 0 4
PIT 1 0
PIT 0 3
PIT 1 1
PIT 0 5
PIT 1 2
PIT 0 4
PIT 1 4
PIT 0 0
PIT 1 5
PIT 0 2
PIT 1 0
PIT 0 3
PIT 1 3
PIT 0 0
PIT 0 1
PIT 1 3
PIT 0 5
PIT 1 1
PIT 0 4
PIT 1 3
PIT 0 5
PIT 1 2
PIT 0 2
PIT 1 5
PIT 0 3
PIT 1 0
PIT 0 2
PIT 1 1
PIT 0 0
PIT 1 2
PIT 0 1
GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36
# Game ended: Fri Apr 07 23:41:57 EDT 2017
